Chapter,Verse,Word,MS_Bmg,MS_B,Categories,Subcategories,Subcategories,,,,,,,,,,,Line
15,20,8,,לאנשי,,,,,,,,,,,,,,5
15,20,9,,כזב׃,,,,,,,,,,,,,,5
15,20,10,,כזב,,,,,,,,,,,,,,6
15,20,11,,ולא,,,,,,,,,,,,,,6
15,20,12,,מרחם,,,,,,,,,,,,,,6
15,20,13,,על,,,,,,,,,,,,,,6
15,20,14,,עושה,,,,,,,,,,,,,,6
15,20,15,,שוא,,,,,,,,,,,,,,6
15,20,16,,ועל,,,,,,,,,,,,,,6
15,20,17,,מגלה,,,,,,,,,,,,,,6
15,20,18,,סוד׃,,,,,,,,,,,,,,6
16,1,1,,"
                    ",,,,,,,,,,,,,,7
16,1,2,,"
                    ",,,,,,,,,,,,,,7
16,1,3,,"
                    ",,,,,,,,,,,,,,7
16,1,4,,,,,,,,,,,,,,,,7
16,1,5,,שוא,,,,,,,,,,,,,,7
16,1,6,,ואל,,,,,,,,,,,,,,7
16,1,7,,תשמח,,,,,,,,,,,,,,7
16,1,8,,על,,,,,,,,,,,,,,7
16,1,9,,בני,,,,,,,,,,,,,,7
16,1,10,,עולה׃,,,,,,,,,,,,,,7
16,2,1,,,,,,,,,,,,,,,,8
16,2,2,,ת̊̊ש֟מח,,,,,,,,,,,,,,8
16,2,3,,ב̇ם,,,,,,,,,,,,,,8
16,2,4,,כי,,,,,,,,,,,,,,8
16,2,5,,אין,,,,,,,,,,,,,,8
16,2,6,,אתם,,,,,,,,,,,,,,8
